,Sub_63,Sub_67,Sub_177,Sub_240,Sub_634,Sub_668,Sub_852,Sub_934,Sub_973,Sub_1000,Sub_1076,Sub_1107,Sub_1161,Sub_1263,Sub_1505,Sub_1682,Sub_1786,Sub_1820,Sub_1990,Sub_2019,Sub_2032,Sub_2146,Sub_2179,Sub_2189,Sub_2195,Sub_2201,Sub_2247,Sub_2355,Sub_2458,Sub_2466,Sub_2546,Sub_2704,Sub_2752,Sub_2754,Sub_2975,Sub_3043,Sub_3115,Sub_3176,Sub_3207,Sub_3213,Sub_3222,Sub_3253,Sub_3400,Sub_3455,Sub_3460,Sub_3490,Sub_3561,Sub_3576,Sub_3753,Sub_3901,Sub_4020,Sub_4222,Sub_4360,Sub_4512,Sub_5121,Sub_5412,Sub_5585,Sub_5715
5/1/2003,1.432731071,2.423409899,1.778047486,1.459520123,1.965755176,1.096919437,1.972889614,1.447289517,2.388520586,1.600662079,1.811971426,4.344454794,1.157191913,1.385602478,2.147038217,1.839904523,1.784079972,1.596926944,1.649407764,1.873275122,1.651240561,1.948875635,1.677157199,4.14169441,1.505945477,1.481704979,1.766772218,1.781073943,1.135804306,1.401611516,4.163066156,1.801898575,3.596136049,1.170035237,2.153151743,1.710055232,2.186498473,1.359342253,1.901988173,4.285368458,2.484101933,1.621653514,1.847048029,1.850106028,1.672740388,1.454013363,1.765263916,2.264960188,1.384165001,1.335886892,1.956580863,1.510941753,1.44394926,1.749354513,1.39288723,2.236018198,1.723785685,1.786176283
6/1/2003,3.032905146,3.045285432,3.799420917,3.273058696,4.072410519,2.705135283,3.334755792,3.237650404,4.635809796,2.568217724,4.118610256,4.187146528,2.270255391,2.885252656,3.965298884,3.200883916,3.672393034,3.28972419,3.324634924,4.206174734,3.257940447,3.867480936,3.106586405,4.333365455,3.340572181,3.381967419,2.749322274,3.204628528,2.556860407,2.695529975,4.373295876,3.79863033,4.042446497,2.883219265,4.175766234,3.296105307,3.790873373,2.523786125,3.844455833,4.163707148,3.180788663,3.391321346,3.682034825,3.766165473,3.416982602,2.449933715,3.516035757,4.08728086,2.108664057,2.661703927,3.846979375,1.948978765,2.814300698,2.713903367,2.857690648,4.112419585,2.818004572,3.796210193
7/1/2003,3.66893391,3.661713827,3.88128748,4.744153172,4.570117512,3.347020837,4.509111661,4.370789243,4.944397355,3.469700842,5.089297506,5.167792772,3.490182329,4.601245388,4.099703826,3.770247726,4.423756374,4.195213858,4.550548389,4.788354662,4.134774915,4.390035902,4.493982654,4.690525699,4.661844928,3.907724781,3.056450389,4.797344523,3.479418619,4.030298477,5.051426641,4.917076686,4.661841007,4.258474693,4.791165263,4.544010916,4.338098069,3.968440857,4.393030014,4.717827119,3.388727034,4.931279928,4.057851348,4.809206206,5.101588261,3.660569365,4.78176447,4.814694066,3.679816601,3.360465596,3.810894458,3.011755691,4.321962885,3.062028342,4.216797203,4.452804716,3.572323007,4.596290659
8/1/2003,4.193528796,2.978503946,4.103484464,4.445827235,4.791590938,3.08973392,4.893000266,4.22142102,5.041434169,2.953939704,5.087077757,4.259618887,3.069715171,4.002888775,3.869604926,3.365762568,4.593539769,4.424546622,4.129350886,4.829438737,4.049718367,4.581227888,4.094221921,4.247016962,4.433209108,3.392414152,2.533274969,4.448637134,2.998257052,3.88006145,4.362717822,4.803083021,3.608256748,4.298080483,4.918991515,4.282054306,3.925793227,3.556812968,3.603949808,3.601453777,2.79666326,4.55055142,3.781965357,4.915315034,4.728253401,3.635321722,4.352895931,4.723947837,3.480814221,2.852665844,3.42256154,2.88864865,3.830785236,2.936411788,3.883638493,4.547091797,3.918231255,4.736857069
9/1/2003,3.031761587,2.985300851,2.696051088,2.643278042,3.847819774,2.075050012,3.338976032,3.120087243,3.480307726,2.362648564,3.723093813,4.557100243,1.715226702,2.62152675,2.512077737,2.300383453,3.534809545,3.289298682,2.529328804,3.052391497,2.384508463,2.594605246,2.22196791,4.329120363,2.820481103,2.054867692,1.839094584,2.793923018,1.932910488,2.471154605,4.744197972,2.985781489,4.144311219,2.293471419,3.83375735,2.524302766,3.316267676,2.326545525,2.820888374,4.253397013,2.799083762,3.002572599,3.204745889,3.052691293,2.676046094,1.797124769,2.295076458,3.240657775,2.081378502,2.051650644,3.078749692,2.197940358,1.7128583,2.04486109,2.092035585,3.132733187,2.371809324,2.846337333
10/1/2003,0.897584463,1.119110261,0.817506534,0.614151071,0.935999461,0.945552407,0.62356614,0.844661639,0.807724954,0.728689216,0.746356774,1.57489687,0.614357426,0.695715579,0.859985131,0.736881758,0.816098271,0.839952394,0.594983024,0.670920671,0.630393647,0.703526584,0.59016962,1.612066196,0.600229775,0.837519134,0.658892842,0.820069111,0.733252541,0.650597388,1.831636426,0.775302293,1.710240357,0.611179907,0.911773849,0.576706678,1.141142306,0.613499499,0.929055468,1.476017745,1.366019584,0.585978801,1.413544913,0.577649262,0.84650287,0.600508048,0.536978271,0.768680824,0.651832851,1.308105721,1.130363661,0.750324975,0.494629526,0.6655391,0.539799019,0.79732743,0.945172726,0.741269124
11/1/2003,0.5852217,0.459529077,0.442779782,0.306891209,0.391222084,0.541800648,0.354597204,0.466641289,0.325834431,0.394419346,0.425927465,0.612471897,0.381208559,0.350712222,0.42869679,0.364226825,0.350232662,0.390781332,0.283904481,0.406235631,0.410988796,0.397702464,0.356771683,0.619044619,0.275916047,0.555622782,0.343822854,0.522357138,0.609625027,0.352760494,0.553608955,0.370019909,0.579013815,0.345030961,0.38262665,0.247866706,0.421173068,0.403556661,0.420542328,0.554367323,0.549570841,0.283398863,0.883943814,0.311889908,0.529469629,0.187363828,0.252290304,0.384090632,0.300244985,0.886789726,0.451174087,0.332929037,0.246212619,0.321935846,0.208148724,0.393116795,0.494783188,0.384197644
12/1/2003,0.385145007,0.268822109,0.092771436,0.261008588,0.281985512,0.271363673,0.207583311,0.250441489,0.335279729,0.274272188,0.201679963,0.453476335,0.141780611,0.375786846,0.126425725,0.135675987,0.209555423,0.26824795,0.22113224,0.147636186,0.238035575,0.186388772,0.213578491,0.544681013,0.223532838,0.189223926,0.169280549,0.290576993,0.28103503,0.323349656,0.424792357,0.2500258,0.48558838,0.179711285,0.281579464,0.192428444,0.155900423,0.43912289,0.155149883,0.47105737,0.26494431,0.249609566,0.510718713,0.307858708,0.429381277,0.080094976,0.075954994,0.222900279,0.150488716,0.53326931,0.162457596,0.252804703,0.064895586,0.156332326,0.095446508,0.261928169,0.339789544,0.195720001
1/1/2004,0.460361049,0.265934756,0.287056184,0.20012559,0.2789228,0.462315654,0.222080826,0.238659478,0.221519154,0.18886073,0.249019956,0.484848246,0.256820268,0.29491347,0.274404014,0.255149237,0.267336221,0.249801754,0.242183718,0.236277096,0.25897243,0.363796904,0.176357654,0.477737183,0.153515489,0.503392253,0.19735538,0.373100403,0.301315508,0.221799838,0.527565158,0.240788348,0.451941735,0.286724078,0.301569671,0.22077388,0.261374538,0.406768644,0.305169107,0.472801863,0.256830582,0.279473243,0.902579147,0.192221818,0.402073795,0.121685031,0.122612452,0.317852874,0.181846629,0.7391894,0.274886591,0.172667188,0.094356454,0.189431442,0.099516974,0.355824715,0.443912735,0.210307315
2/1/2004,0.291129338,0.363037844,0.112054693,0.124068911,0.180731279,0.223774033,0.13654708,0.141292513,0.142660024,0.152248871,0.12660811,0.645526787,0.158819867,0.213064352,0.008085592,0.016307812,0.147360773,0.137036837,0.149424104,0.10701686,0.171579946,0.126406561,0.137633007,0.529879731,0.074111347,0.13966601,0.022475323,0.226431542,0.181737799,0.153929636,0.588728789,0.123136424,0.508361097,0.144479826,0.17432148,0.15703355,0.046280388,0.220667037,0.025436829,0.541179767,0.166558651,0.115631214,0.426153899,0.087565086,0.243318653,0.090389091,0.060759046,0.155137819,0.123929369,0.309986601,0.058092324,0.132431519,0.05602541,0.024363657,0.092351737,0.152978449,0.33326189,0.109666054
3/1/2004,0.150113992,0.405356716,0.114780051,0.110358688,0.061487419,0.467253397,0.162026498,0.082137892,0.040640854,0.395561029,0.117876949,0.760030714,0.199106396,0.152827507,0.137512841,0.312804873,0.072316485,0.064983478,0.14350496,0.131885144,0.176047256,0.099942029,0.158813964,0.773127319,0.108490861,0.123977657,0.295503516,0.186649869,0.224669599,0.118309899,0.713242585,0.078459167,0.717794546,0.239908448,0.064367191,0.146690973,0.329295557,0.160506707,0.357456856,0.724427065,0.479771855,0.109050697,0.859913363,0.11057329,0.194856158,0.087948624,0.103333244,0.113472958,0.163241854,0.640923893,0.367212874,0.347799904,0.099070866,0.312474441,0.113729479,0.125688732,0.313204512,0.104341471
4/1/2004,0.970276051,0.950889654,0.724876673,0.626370977,0.675077586,0.772857,0.605992676,0.785010261,0.598266764,0.808539778,0.694218139,1.227970754,0.645940618,0.697166204,0.683368531,0.608688016,0.662546673,0.708101414,0.629527311,0.646609601,0.603093443,0.674320844,0.630782307,1.483455776,0.600219641,0.771408301,0.642138822,0.838726723,0.812000836,0.650259173,1.18061527,0.686897564,1.678670353,0.620291629,0.618320153,0.638416812,0.706140125,0.648614352,0.65822573,1.495595117,1.219066727,0.587614207,1.101254105,0.572121497,0.862063416,0.63865014,0.560910658,0.688368689,0.792608634,0.999526646,0.733525073,0.804222954,0.561641448,0.611890227,0.568179427,0.71402629,0.931002227,0.684731669
5/1/2004,1.423976213,2.975473839,1.330534865,1.147700561,1.856257876,0.9909439,1.173975119,1.406473678,1.522485445,2.129017392,1.569314358,4.546882171,1.026301105,1.145556954,1.78225371,1.943155268,1.416120459,1.422142497,1.105548948,1.45815983,1.086731329,1.334375745,1.10441519,4.605869427,1.103329085,1.244646923,1.720073662,1.178705903,0.974631534,1.157990531,4.77830728,1.263555936,4.215460617,0.892400291,1.86235394,1.131904598,2.429033539,1.224967268,1.912410211,4.611296747,3.177870266,1.08642706,1.418636277,1.119415267,1.241723073,1.028626048,1.031583682,1.507407625,1.136136948,1.198555355,2.680080278,2.014127255,0.990517099,1.687045458,0.992865491,1.662983198,1.255014607,1.25540342
6/1/2004,3.687316775,3.214552226,3.698596339,3.712592801,4.465529384,2.884049954,3.729684554,3.682940807,4.899356776,2.87495051,4.281285762,5.276058982,2.006844774,3.301608069,3.78822588,3.260996462,4.288851313,3.749430483,3.671827551,4.344629844,3.159899517,4.478145107,3.191253144,4.618095143,3.3193022,3.287745488,2.929784272,4.44421754,2.308478282,3.267820756,4.986992126,4.452087992,4.674986027,3.046606943,4.449109959,3.520840671,3.969216013,3.275252348,3.709495155,4.794367796,2.852004972,3.686021763,3.74602928,3.882796879,4.335433677,2.978292874,3.455526495,4.75218803,2.819306181,2.999902746,4.112107729,2.146842484,2.774166947,2.587494979,3.068973756,4.495536128,2.956236418,4.568788994
7/1/2004,3.55353508,3.25848951,3.906769679,4.043383039,4.469252754,2.675956301,4.165773103,3.701687962,4.121690065,3.315904911,4.543053483,4.543425029,2.624787096,3.925144277,4.103432544,3.619441868,4.197616643,3.78956578,3.721804552,4.229527602,3.796057616,4.105503593,3.977197962,4.682151177,3.843534696,3.287300763,2.928792053,3.803220708,3.167905669,3.641780329,4.611840804,3.895084732,4.264612506,3.603141892,4.448277284,3.728531228,3.481841556,3.993473933,3.811765684,4.385405089,3.1106915,3.915962654,3.421676012,4.194453328,4.046915009,3.928128362,4.059089381,4.282556167,3.283020447,2.428127011,3.291188944,2.891066053,3.789468413,3.134552346,3.511496188,3.701593694,3.387833063,4.20677367
8/1/2004,3.627777043,3.426459103,3.296928604,4.037785549,4.557197112,2.876515973,3.978471067,4.16048101,4.600897387,3.007887958,4.157923686,4.733636582,2.314606096,4.021810401,3.941146806,3.702706436,4.572070847,4.149889869,3.85316101,3.924930794,3.473697063,3.796288013,3.738515054,4.311907972,3.856667906,4.005823782,3.36053023,3.563720667,2.699256157,3.740901488,4.797991681,4.024393879,4.404301598,3.138978712,4.591033448,3.784777628,4.085434448,3.643732208,4.295241555,4.239193907,2.772327161,3.944659579,3.699816037,4.095447363,3.765453802,3.195010924,3.957983039,4.469421881,3.501768409,2.770460275,4.088100312,2.405788379,3.795691844,3.498588107,3.45498663,4.250949295,3.378395376,4.001120062
9/1/2004,3.31949387,3.047360295,3.500307855,3.099572675,3.31931598,2.096271258,3.566215712,3.063128408,4.273586198,2.012277249,3.929984961,4.280515591,1.835153216,3.119655819,3.954441773,2.928716443,3.72837949,3.54289834,2.695662486,3.677738235,2.585658836,3.381295483,2.663255963,3.839798248,2.728891109,3.109973128,2.554503139,3.098146157,2.264734423,2.886700876,4.41685335,3.204999333,3.995618616,2.739695295,3.507191208,2.663679668,3.784989555,2.898848291,3.503497377,4.073496256,2.882780007,3.205715663,3.073508042,3.365594003,3.239168167,2.719614587,2.656940263,3.557397274,2.299846048,2.291650254,3.621660601,1.942829521,2.073970448,2.573517102,2.326812526,3.501328023,2.513405969,3.129634496
10/1/2004,0.747396591,0.839700644,0.863906559,0.561865331,0.753323117,0.754403839,0.602223968,0.77372415,0.846372634,0.545704369,0.696698576,1.085571032,0.572286097,0.620113805,0.885432833,0.735513174,0.723593162,0.742476271,0.568987017,0.717377162,0.568368401,0.759013711,0.546852125,0.863309868,0.509542131,0.807925094,0.632126239,0.870125104,0.76707498,0.594707915,0.945141339,0.732486906,0.950317009,0.704883037,0.738364635,0.599647121,0.813641331,0.583398002,0.846007614,0.893079536,0.905217166,0.53118774,1.0140814,0.550230753,0.801423147,0.678424963,0.489201871,0.676200774,0.62488242,1.009258429,0.796465696,0.520230599,0.466564715,0.538956654,0.567748773,0.725708374,0.976909631,0.702056627
