SUB,R2-ET,NSE-ET,PBIAS-ET,R2-LAI,NSE-LAI,PBIAS-LAI,R2-NPPC,NSE-NPPC,PBIAS-NPPC,LULC
5400,0.843479533,0.816068417,13,0.908514476,0.869141302,-7.1,0.817692432,0.757224363,-11.4,PSST
5401,0.810843469,0.794366654,-2.1,0.858898022,0.846341607,15.3,0.792466683,0.772729784,6.5,PNST
5402,0.792936932,0.748552717,16.7,0.831752869,0.811313509,-12.5,0.831044699,0.82044811,1.3,CNRN
5403,0.761098888,0.738974461,-10.5,0.903586009,0.608365258,-32.5,0.701829381,0.700399934,3,WSAK
5404,0.661100587,0.539092447,4.9,0.906755029,0.860646212,28.5,0.812936576,0.774349509,1.6,CSRN
5405,0.591528435,0.482369504,7.8,0.913931917,0.903654821,4.5,0.750476555,0.690383641,-11.2,CNRN
5406,0.637249564,0.417750285,3.2,0.867350681,0.637884526,42.1,0.777159706,0.753970174,1.3,CSRN
5407,0.880864936,0.853189952,16.4,0.850780808,0.844033589,-6.3,0.829285494,0.809095745,-1.3,PNST
5408,0.838388179,0.772690486,23.4,0.784513195,0.758450039,15.9,0.84068739,0.503939581,71.8,PNST
5409,0.545779001,0.283489909,20.1,0.812028522,0.811216371,3.3,0.744564878,0.682638657,-15.9,CNRN
5410,0.797600375,0.738764811,26.2,0.804744195,0.785526851,9.9,0.798164493,0.688160678,39,WEEF
5411,0.662870252,0.522243043,-24.1,0.857264905,0.005038539,-58.4,0.691133049,0.677084176,-4.7,WSAK
5412,0.887675129,0.865890975,12,0.899268698,0.891195364,5.9,0.833988667,0.829771524,6.6,ASEN
5413,0.870237143,0.854145976,7.3,0.773891126,0.715313258,-21.1,0.85048838,0.839150661,2.4,PNST
5414,0.623907047,0.577677513,5.8,0.898526318,0.890858171,0.5,0.859006263,0.821558517,-5.9,CNRN
5415,0.717549092,0.622612756,0.9,0.717123507,0.556485795,55.9,0.446355567,0.289407517,62.3,CSRN
5416,0.869920796,0.856428143,7.5,0.878813952,0.856192722,-10.5,0.854303825,0.832738953,-0.3,ASWN
5417,0.78330901,0.700168789,-11.7,0.191702383,-0.015582583,-43,0.692974444,0.666970372,-7.4,URBN
5418,0.724274122,0.485255083,-30.5,0.841068737,-0.139842107,-61.5,0.766030768,0.699939373,-15.8,WSAK
5419,0.777430211,0.75158217,-8.8,0.86723869,0.743970777,-27.1,0.87936818,0.864567036,-0.4,CNRN
5420,0.916030465,0.90167893,5.1,0.845024539,0.835316159,-0.9,0.83810484,0.823248969,6.2,PNST
5421,0.805943201,0.803987533,3.9,0.487734103,0.428173764,-23.7,0.820642878,0.784999486,-11.7,PNST
5422,0.847574017,0.826182766,-8.5,0.723761036,0.462988741,70.2,0.43435636,0.112691831,76.6,SSYB
5423,0.83254121,0.790631515,14.7,0.822263497,0.778561946,2.8,0.815090122,0.802584445,-2.9,PNST
5424,0.883942644,0.882857723,1.4,0.782872009,0.778687368,6.8,0.79569232,0.754390899,-1,PNST
5425,0.731764985,0.730267624,3.1,0.819082735,0.805954929,14.7,0.830570155,0.776692184,-11.9,CNRN
5426,0.709162554,0.673917763,0.7,0.815686521,0.794787868,20.5,0.832933593,0.803932119,8.5,CSRN
5427,0.855868608,0.854999487,2,0.821086291,0.808956908,11.7,0.836068518,0.801100995,25.3,CNRN
5428,0.686093638,0.554742013,8.1,0.737868598,0.667713918,24.4,0.783132296,0.759322858,4.5,CSRN
5429,0.853358812,0.853220659,-0.1,0.906456546,0.808834969,22.8,0.67728781,0.671902471,4.3,CSRN
5430,0.678419352,0.498090132,0.5,0.887621319,0.512279408,67.8,0.741357369,0.313049313,78.9,CSRN
5431,0.825961683,0.811919925,11,0.909061251,0.87098261,-14.8,0.796187522,0.78386536,7.8,ASWN
5432,0.80816366,0.805124239,-0.8,0.901711406,0.889453564,9.7,0.856969337,0.76498994,33.9,SSYB
5433,0.790048993,0.757384914,18.5,0.814171049,0.795530139,-13.1,0.806166598,0.795542427,-0.1,ASEN
5434,0.794047147,0.717272056,-16.2,0.864665265,0.08521503,-52.6,0.785544026,0.723023454,-12.3,PSST
5435,0.837006001,0.806239973,18.5,0.823400506,0.79459446,-15.3,0.789293016,0.68954024,-21.1,ASEN
5436,0.766855954,0.736410786,-10.8,0.843169882,0.704331566,-28.6,0.813793813,0.766231442,23.3,WSAK
5437,0.587519283,0.518651083,4.4,0.92178389,0.917593827,0,0.830267123,0.821996582,0.6,CNRN
5438,0.673215752,0.611085082,4.4,0.896663891,0.884942667,16.3,0.74593066,0.73757095,9.4,CNRN
5439,0.718428462,0.71564579,-1.6,0.875245999,0.835823489,-15.4,0.888762606,0.831543729,-9.5,CNRN
5440,0.658593505,0.401106693,10.4,0.71722858,0.396696805,63,0.559766676,0.497621711,36.4,CSRN
5441,0.750381031,0.647148266,7,0.864799472,0.719236136,50.5,0.704428429,0.577818832,49.5,CSRN
5442,0.651372441,0.578872408,-1.9,0.740423664,0.640385753,43.7,0.570254185,0.488005681,46,CSRN
5443,0.855747625,0.823771163,17.1,0.935186834,0.927003596,4.1,0.867628242,0.845731323,19.7,ASEN
5444,0.559178531,0.487743127,3.2,0.852112375,0.851591433,1.7,0.861046238,0.761442572,-22.1,CNRN
5445,0.577652879,0.327041247,2.4,0.731674157,0.558613042,37.9,0.596069409,0.58658289,13.2,CSRN
5446,0.698910383,0.686356374,1.1,0.901677366,0.867503663,3.1,0.76929829,0.692590331,-11.3,CNRN
5447,0.760471537,0.668084878,-7.3,0.839275734,0.685269961,-28.2,0.813064518,0.793019395,-2.6,WCAK
5448,0.787704205,0.782791939,2.4,0.742253346,0.717979664,16.2,0.813164624,0.770922905,29.2,CSRN
5449,0.693320802,0.60579231,3.4,0.839429561,0.735812827,38.9,0.775512062,0.751414216,22.9,CSRN
5450,0.804470441,0.780254809,-9.7,0.698683175,0.442054217,73.4,0.403766502,-0.032960273,96.9,SSYB
5451,0.772706751,0.729658693,-14.5,0.886123957,0.885906883,-0.5,0.581648934,0.479111459,13.7,WSAK
5452,0.606353543,0.507186966,-1.7,0.866244895,0.836850911,18.6,0.861964463,0.847632118,16.3,CSRN
5453,0.799288135,0.739744468,24.3,0.805695167,0.782553899,-13.4,0.790999321,0.764640673,-5.1,ASEN
5454,0.872605186,0.810926405,18.9,0.868608856,0.864125254,2.3,0.795485783,0.747925516,-8.9,PNST
5455,0.734093868,0.720772207,7.9,0.759080229,0.683260045,31.6,0.702012731,0.69776388,7.7,CNRN
5456,0.83789122,0.816411945,10.8,0.837533079,0.789112228,-19.1,0.809353805,0.739014037,-16.3,ASEN
5457,0.874019167,0.86641905,6.2,0.868775471,0.855703433,-9.2,0.826778294,0.790429864,-5.8,WNAK
5458,0.734915057,0.629582411,5.6,0.72714114,0.608753958,50.2,0.565688481,0.435387219,56.7,CSRN
5459,0.860470425,0.851693612,8,0.925656316,0.924264658,-3,0.834465483,0.802614665,-4,ASWN
